🕘️更新时间,#genre#
2025-07-19 07:37:05,http://113.90.247.190:4000/udp/239.77.1.152:5146

广东频道,#genre#
广东卫视,http://113.90.247.190:4000/udp/239.77.1.152:5146
广东卫视,http://113.90.247.190:4000/udp/239.77.0.84:5146
广东卫视,http://61.140.190.62:4022/udp/239.77.1.19:5146
广东卫视,http://113.90.247.190:4000/udp/239.77.1.19:5146
广东卫视,http://113.64.197.227:6633/udp/239.77.1.19:5146
广东卫视,http://113.64.197.227:6633/udp/239.77.1.152:5146
广东卫视,http://113.64.197.227:6633/udp/239.77.0.84:5146
广东卫视,http://183.31.11.150:8000/udp/239.77.1.19:5146
广东珠江,http://113.64.197.227:6633/udp/239.77.0.114:5146
广东珠江,http://183.30.201.234:10002/udp/239.77.0.1:5146
广东珠江,http://113.90.247.190:4000/udp/239.77.0.1:5146
广东珠江,http://113.90.247.190:4000/udp/239.77.0.114:5146
广东珠江,http://61.140.190.62:4022/udp/239.77.0.1:5146
广东珠江,http://183.31.11.150:8000/udp/239.77.0.1:5146
广东新闻,http://113.64.197.227:6633/udp/239.77.0.173:5146
广东新闻,http://home.l-ht.cn:4000/rtp/239.77.0.173:5146
广东新闻,http://113.90.247.190:4000/udp/239.77.0.173:5146
广东新闻,http://61.140.190.62:4022/udp/239.77.0.173:5146
广东新闻,http://183.31.11.150:8000/udp/239.77.0.173:5146
广东民生,http://183.30.201.234:10002/udp/239.77.0.225:5146
广东民生,http://113.90.247.190:4000/udp/239.77.0.225:5146
广东民生,http://home.l-ht.cn:4000/rtp/239.77.0.225:5146
大湾区卫视,http://183.30.201.234:10002/udp/239.77.0.215:5146
大湾区卫视,http://113.90.247.190:4000/udp/239.77.0.215:5146
大湾区卫视,http://61.140.190.62:4022/udp/239.77.0.225:5146
大湾区卫视,http://61.140.190.62:4022/udp/239.77.0.215:5146
大湾区卫视,http://183.31.11.150:8000/udp/239.77.0.215:5146
大湾区卫视,http://183.31.11.150:8000/udp/239.77.0.225:5146
广东经济科教,http://113.64.197.227:6633/udp/239.77.0.85:5146
广东经济科教,http://113.90.247.190:4000/udp/239.77.0.85:5146
广东经济科教,http://61.140.190.62:4022/rtp/239.77.0.167:5146
广东经济科教,http://113.90.247.190:4000/udp/239.77.0.167:5146
广东经济科教,http://183.31.11.150:8000/rtp/239.77.0.167:5146
广东体育,http://113.90.247.190:4000/udp/239.77.0.168:5146
广东体育,http://61.140.190.62:4022/udp/239.77.0.112:5146
广东体育,http://183.31.11.150:8000/udp/239.77.0.112:5146
广东影视,http://113.64.197.227:6633/udp/239.77.0.217:5146
广东影视,http://113.90.247.190:4000/udp/239.77.0.217:5146
广东影视,http://home.l-ht.cn:4000/rtp/239.77.0.217:5146
广东影视,http://61.140.190.62:4022/udp/239.77.0.217:5146
广东影视,http://183.31.11.150:8000/udp/239.77.0.217:5146
广东综艺4K,http://113.90.247.190:4000/udp/239.77.1.237:5146
广东综艺4K,http://113.67.180.72:10000/rtp/239.77.0.245:5146
广东综艺4K,http://183.30.201.234:10002/udp/239.77.1.237:5146
广东综艺4K,http://113.95.132.14:4200/rtp/239.77.0.245:5146
广东综艺4K,http://61.140.190.62:4022/rtp/239.77.0.245:5146
广东综艺4K,http://183.31.11.150:8000/rtp/239.77.0.245:5146
广东少儿,http://113.90.247.190:4000/udp/239.77.0.250:5146
广东少儿,http://113.64.197.227:6633/udp/239.77.0.250:5146
广东少儿,http://home.l-ht.cn:4000/rtp/239.77.0.250:5146
广东少儿,http://61.140.190.62:4022/udp/239.77.0.250:5146
广东少儿,http://183.31.11.150:8000/udp/239.77.0.250:5146
嘉佳卡通,http://113.90.247.190:4000/udp/239.77.0.179:5146
嘉佳卡通,http://183.30.201.234:10002/udp/239.77.0.179:5146
嘉佳卡通,http://183.30.201.234:10002/rtp/239.77.0.179:5146
嘉佳卡通,http://61.140.190.62:4022/rtp/239.77.0.179:5146
嘉佳卡通,http://183.31.11.150:8000/rtp/239.77.0.179:5146
岭南戏曲,http://113.90.247.190:4000/udp/239.77.0.122:5146
岭南戏曲,http://183.30.201.234:10002/udp/239.77.0.122:5146
岭南戏曲,http://home.l-ht.cn:4000/rtp/239.77.0.122:5146
岭南戏曲,http://61.140.190.62:4022/udp/239.77.0.122:5146
